player: Gamer | score: 1611.8900000000199
player: Waldo | score: 824.6900000000012
player: Mario | score: 1642.2500000000116
player: sdd | score: 1239.0100000000098
player: bob | score: 7836.989999999778
player: dad | score: 270.12000000000137
player: wdw | score: 446.42000000000115
player: dwd | score: 53.84999999999961
player: w | score: 46.44999999999976
player: wdwd | score: 40.75999999999988
player: jdod | score: 58.60999999999953
player: y | score: 46.43999999999975
player: ddd | score: 56.1499999999996
player: www | score: 46.01999999999976
player: wdnd | score: 46.069999999999766
player: wdnd | score: 45.97999999999975
player: wdnd | score: 87.63999999999925
player: ndibd | score: 52.75999999999964
player: ndibd | score: 51.12999999999966
player: yeet | score: 94.28999999999941
player: yeet | score: 55.059999999999654
player: yayay | score: 1124.069999999994
player: ddwd | score: 11368.139999999634
player: ddwd | score: 2491.3100000000168
player: jwidi | score: 624.8299999999977
player: www | score: 57.18999999999955
player: Josdh | score: 3649.7199999999375
player: jbsibdi | score: 1983.6300000000133
player: jbsibdi | score: 1253.2300000000039
player: jbsibdi | score: 9472.09999999975
player: sdd | score: 82.90999999999909
player: wwdwd | score: 583.039999999999
player: dwadwd | score: 96.37999999999882
player: wdawdff | score: 86.49999999999903
player: wdad | score: 1133.7300000000123
player: wdawd | score: 93.01999999999893
player: dwd | score: 1506.720000000033
player: dwdf | score: 1283.2200000000416
player:  dwd | score: 916.9899999999947
player: fff | score: 3193.729999999966
player: dwadinnf | score: 972.2799999999905
player: dwdw | score: 3632.129999999907
player: ww | score: 4034.569999999897
player: wdw | score: 78.4299999999992
player: wdd | score: 460.7600000000251
player: wd | score: 113.63999999999864
player: d | score: 700.0799999999942
player: d | score: 2093.1300000000238
player: d | score: 81.60999999999918
player: wd | score: 127.80999999999837
player: d | score: 767.8199999999995
player: dwd | score: 88.559999999999
player:  w | score: 13495.089999999405
player: wddf | score: 692.6899999999856
